+------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-------------+-------------+
| Rank |                                                                                                                                                                                                                                                                                                  Drug Name                                                                                                                                                                                                                                                                                                  |  Target Name   | Interaction | Probability |
|  32  |                                                                                                                                                                                                                                                                                                  Entacapone                                                                                                                                                                                                                                                                                                 | TP53_isoform_a |     YES     |     1.00    |
|  33  |                                                                                                                                                                                                                                                                                               Levomepromazine                                                                                                                                                                                                                                                                                               | TP53_isoform_a |     YES     |     1.00    |
|  34  |                                                                                                                                                                                                                                                             2-Acetylamino-3-(1H-indol-3-yl)-propionic acid 3,5-bis-trifluoromethyl-benzyl ester                                                                                                                                                                                                                                                             | TP53_isoform_a |     YES     |     1.00    |
|  35  |                                                                                                                                                                                                                                                                                                Chlorpromazine                                                                                                                                                                                                                                                                                               | TP53_isoform_a |     YES     |     1.00    |
|  36  |                                                                                                                                                                                                                                                                                                  Efavirenz                                                                                                                                                                                                                                                                                                  | TP53_isoform_a |     YES     |     1.00    |
|  37  |                                                                                                                                                                                                                                                                               2-Hydroxy-4-(2-(tosyloxy)acetamido)benzoic acid                                                                                                                                                                                                                                                                               | TP53_isoform_a |     YES     |     1.00    |
|  38  |                                                                                                                                                                                                                                                                   1-[4-Bromo-2-(2H-tetrazol-5-yl)phenyl]-3-[3-(trifluoromethyl)phenyl]urea                                                                                                                                                                                                                                                                  | TP53_isoform_a |     YES     |     1.00    |
|  39  |                                                                                                                                                                                                                                                                                 1-(4-Methoxybenzyl)-5-trifluoromethoxyisatin                                                                                                                                                                                                                                                                                | TP53_isoform_a |     YES     |     1.00    |
|  40  |                                                                                                                                                                                                                                                                  N-(4-Acetyl-5-methyl-5-phenyl-4,5-dihydro-1,3,4-thiadiazol-2-yl)acetamide                                                                                                                                                                                                                                                                  | TP53_isoform_a |     YES     |     1.00    |
|  41  |                                                                                                                                                                                                                                                                                                Piperacetazine                                                                                                                                                                                                                                                                                               | TP53_isoform_a |     YES     |     1.00    |
|  42  |                                                                                                                                                                                                                                                                                                 Loreclezole                                                                                                                                                                                                                                                                                                 | TP53_isoform_a |     YES     |     1.00    |
|  43  |                                                                                                                                                                                                                                                                                                 Floctafenine                                                                                                                                                                                                                                                                                                | TP53_isoform_a |     YES     |     1.00    |
|  44  |                                                                                                                                                                                                                                                              N-[3-(2,1,3-Benzothiadiazol-5-ylamino)quinoxalin-2-yl]-4-methylbenzenesulfonamide                                                                                                                                                                                                                                                              | TP53_isoform_a |     YES     |     1.00    |
|  45  |                                                                                                                                                                                                                                                                                                 Idalopirdine                                                                                                                                                                                                                                                                                                | TP53_isoform_a |     YES     |     1.00    |
|  46  |                                                                                                                                                                                                                                                                                            Phthalylsulfathiazole                                                                                                                                                                                                                                                                                            | TP53_isoform_a |     YES     |     1.00    |
|  47  |                                                                                                                                                                                                                                                                       2,4,6-Trimethyl-N-[2-(trifluoromethyl)phenyl]benzenesulfonamide                                                                                                                                                                                                                                                                       | TP53_isoform_a |     YES     |     1.00    |
|  48  |                                                                                                                                                                                                                                                                   (2-Amino-4,5-dimethylthiophen-3-yl)(3-(trifluoromethyl)phenyl)methanone                                                                                                                                                                                                                                                                   | TP53_isoform_a |     YES     |     1.00    |
|  49  |                                                                                                                                                                                                                                           Tributyl-[[4-[[(2S)-2-[(N,N'-dicyclohexylcarbamimidoyl)amino]-3-naphthalen-2-ylpropanoyl]amino]phenyl]methyl]phosphanium                                                                                                                                                                                                                                          | TP53_isoform_a |     YES     |     1.00    |
|  50  |                                                                                                                                                                                                                                                                                                Acetophenazine                                                                                                                                                                                                                                                                                               | TP53_isoform_a |     YES     |     1.00    |
|  51  |                                                                                                                                                                                                                                                                                                 Niclosamide                                                                                                                                                                                                                                                                                                 | TP53_isoform_a |     YES     |     1.00    |
|  52  |                                                                                                                                                                                                                                                              1-(3,5-Bis(trifluoromethyl)phenyl)-3-(4-bromo-2-(2H-tetrazol-5-yl)phenyl)thiourea                                                                                                                                                                                                                                                              | TP53_isoform_a |     YES     |     1.00    |
|  53  |                                                                                                                                                                                                                                                                                               Prochlorperazine                                                                                                                                                                                                                                                                                              | TP53_isoform_a |     YES     |     1.00    |
|  54  |                                                                                                                                                                                                                                                                                                  Azasetron                                                                                                                                                                                                                                                                                                  | TP53_isoform_a |     YES     |     1.00    |
|  55  |                                                                                                                                                                                                                                                                                                 Dioxybenzone                                                                                                                                                                                                                                                                                                | TP53_isoform_a |     YES     |     0.99    |
|  56  |                                                                                                                                                                                                                                                                                                  Phenytoin                                                                                                                                                                                                                                                                                                  | TP53_isoform_a |     YES     |     0.99    |
|  57  |                                                                                                                                                                                                                                                                                                 Perphenazine                                                                                                                                                                                                                                                                                                | TP53_isoform_a |     YES     |     0.99    |
|  58  |                                                                                                                                                                                                                                                                                                  Navitoclax                                                                                                                                                                                                                                                                                                 | TP53_isoform_a |     YES     |     0.99    |
|  59  |                                                                                                                                                                                                                                                                      3,4-Dimethoxy-N-(4-(3-nitrophenyl)thiazol-2-yl)benzenesulfonamide                                                                                                                                                                                                                                                                      | TP53_isoform_a |     YES     |     0.99    |
|  60  |                                                                                                                                                                                                                                                                                                  Fenoverine                                                                                                                                                                                                                                                                                                 | TP53_isoform_a |     YES     |     0.99    |
|  61  |                                                                                                                                                                                                                                                                                                  Diacerein                                                                                                                                                                                                                                                                                                  | TP53_isoform_a |     YES     |     0.99    |
|  62  |                                                                                                                                                                                                                                                                                            Fluphenazine decanoate                                                                                                                                                                                                                                                                                           | TP53_isoform_a |     YES     |     0.99    |
|  63  |                                                                                                                                                                                                                                                                                             RGB-286638 free base                                                                                                                                                                                                                                                                                            | TP53_isoform_a |     YES     |     0.99    |
|  64  |                                                                                                                                                                                                                                                                              5-(4-Fluorophenyl)-2-ureidothiophene-3-carboxamide                                                                                                                                                                                                                                                                             | TP53_isoform_a |     YES     |     0.99    |
|  65  |                                                                                                                                                                                                                                                                                                  Sulfalene                                                                                                                                                                                                                                                                                                  | TP53_isoform_a |     YES     |     0.99    |
|  66  |                                                                                                                                                                                                                                                                                                Cyclothiazide                                                                                                                                                                                                                                                                                                | TP53_isoform_a |     YES     |     0.99    |
|  67  |                                                                                                                                                                                                                                                                              2,1-Benzoxaborole, 5-chloro-1,3-dihydro-1-hydroxy-                                                                                                                                                                                                                                                                             | TP53_isoform_a |     YES     |     0.99    |
|  68  |                                                                                                                                                                                                                                                                                                 Morniflumate                                                                                                                                                                                                                                                                                                | TP53_isoform_a |     YES     |     0.99    |
