+------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+---------------+---------------+
| Rank |                                                                                                                                                                                                                                                                                                  Drug Name                                                                                                                                                                                                                                                                                                  |  Target Name  | Binding Score |
|  19  |                                                                                                                                                                                                                                                                                                  Mepiroxol                                                                                                                                                                                                                                                                                                  | mlh1 isoform1 |     -0.04     |
|  20  |                                                                                                                                                                                                                                                                                                Methazolamide                                                                                                                                                                                                                                                                                                | mlh1 isoform1 |     -0.04     |
|  21  |                                                                                                                                                                                                                                                                                                     UNK                                                                                                                                                                                                                                                                                                     | mlh1 isoform1 |     -0.04     |
|  22  |                                                                                                                                                                                                                                                                                                Fosbretabulin                                                                                                                                                                                                                                                                                                | mlh1 isoform1 |     -0.04     |
|  23  |                                                                                                                                                                                                                                                                                                    Icilin                                                                                                                                                                                                                                                                                                   | mlh1 isoform1 |     -0.04     |
|  24  |                                                                                                                                                                                                                                                                                             4-Aminobenzoic acid                                                                                                                                                                                                                                                                                             | mlh1 isoform1 |     -0.04     |
|  25  |                                                                                                                                                                                                                                                                                            (Ala2)-Leu-Enkephalin                                                                                                                                                                                                                                                                                            | mlh1 isoform1 |     -0.04     |
|  26  |                                                                                                                                                                                                                                                                     2-(Thiophen-2-yl)ethyl 2-cyano-3-(3,4-dihydroxyphenyl)prop-2-enoate                                                                                                                                                                                                                                                                     | mlh1 isoform1 |     -0.04     |
|  27  |                                                                                                                                                                                                                                                                                                 Triptorelin                                                                                                                                                                                                                                                                                                 | mlh1 isoform1 |     -0.04     |
|  28  |                                                                                                                                                                                                                                                                                                     UNK                                                                                                                                                                                                                                                                                                     | mlh1 isoform1 |     -0.04     |
|  29  |                                                                                                                                                                                                                                                                                                 Piketoprofen                                                                                                                                                                                                                                                                                                | mlh1 isoform1 |     -0.04     |
|  30  |                                                                                                                                                                                                                 [2-[(4R,8S,9S,11S,12R,13S,19S)-12,19-Difluoro-11-hydroxy-6,6,9,13-tetramethyl-16-oxo-5,7-dioxapentacyclo[10.8.0.02,9.04,8.013,18]icosa-14,17-dien-8-yl]-2-oxoethyl] acetate                                                                                                                                                                                                                 | mlh1 isoform1 |     -0.04     |
|  31  |                                                                                                                                                                                                                                                                                                  Reversine                                                                                                                                                                                                                                                                                                  | mlh1 isoform1 |     -0.04     |
|  32  |                                                                                                                                                                                                                                                                                                   Acalisib                                                                                                                                                                                                                                                                                                  | mlh1 isoform1 |     -0.04     |
|  33  |                                                                                                                                                                                                                                                                                                  Mefloquine                                                                                                                                                                                                                                                                                                 | mlh1 isoform1 |     -0.04     |
|  34  |                                                                                                                                                                                                                                                                                           N-Phthalyl-L-tryptophan                                                                                                                                                                                                                                                                                           | mlh1 isoform1 |     -0.04     |
|  35  |                                                                                                                                                                                                                                                                                               Tolfenamic acid                                                                                                                                                                                                                                                                                               | mlh1 isoform1 |     -0.04     |
|  36  |                                                                                                                                                                                                                                                                1-(2-Chlorophenyl)-3-[(1-pyridin-2-ylethenylamino)carbamothioylamino]thiourea                                                                                                                                                                                                                                                                | mlh1 isoform1 |     -0.04     |
|  37  |                                                                                                                                                                                                                                                                                                 Morniflumate                                                                                                                                                                                                                                                                                                | mlh1 isoform1 |     -0.04     |
|  38  |                                                                                                                                                                                                                                                          (2R)-2-({9-(1-Methylethyl)-6-[(4-pyridin-2-ylbenzyl)amino]-9H-purin-2-yl}amino)butan-1-ol                                                                                                                                                                                                                                                          | mlh1 isoform1 |     -0.04     |
|  39  |                                                                                                                                                                                                                                                             N-(9-Chloro-2-(furan-2-yl)-[1,2,4]triazolo[1,5-c]quinazolin-5-yl)-2-phenylacetamide                                                                                                                                                                                                                                                             | mlh1 isoform1 |     -0.04     |
|  40  |                                                                                                                                                                                                                                                     (S,S)-2-{1-Carboxy-2-[3-(3,5-dichloro-benzyl)-3H-imidazol-4-YL]-ethylamino}-4-methyl-pentanoic acid                                                                                                                                                                                                                                                     | mlh1 isoform1 |     -0.04     |
|  41  |                                                                                                                                                                                                                                                         N-[4-[1-(4-Fluorophenyl)indazol-5-yl]-3-(trifluoromethyl)phenyl]-1-phenylmethanesulfonamide                                                                                                                                                                                                                                                         | mlh1 isoform1 |     -0.04     |
|  42  |                                                                                                                                                                                                                                                                                              Dimethoxycurcumin                                                                                                                                                                                                                                                                                              | mlh1 isoform1 |     -0.04     |
|  43  |                                                                                                                                                                                                                                                                                                 Rizatriptan                                                                                                                                                                                                                                                                                                 | mlh1 isoform1 |     -0.04     |
|  44  |                                                                                                                                                                                                                                                                (E)-N-(3-(3-(4-Fluorophenoxy)phenyl)-1-(R,S)-methylprop-2-enyl)-N-hydroxyurea                                                                                                                                                                                                                                                                | mlh1 isoform1 |     -0.04     |
|  45  |                                                                                                                                                                                                                                                                                                 Caffeic acid                                                                                                                                                                                                                                                                                                | mlh1 isoform1 |     -0.04     |
|  46  |                                                                                                                                                                                                                                                                                                  Adoprazine                                                                                                                                                                                                                                                                                                 | mlh1 isoform1 |     -0.04     |
|  47  |                                                                                                                                                                                                                                                                                                 CID 9851724                                                                                                                                                                                                                                                                                                 | mlh1 isoform1 |     -0.04     |
|  48  |                                                                                                                                                                                                                                                                                                 Nitazoxanide                                                                                                                                                                                                                                                                                                | mlh1 isoform1 |     -0.04     |
|  49  |                                                                                                                                                                                                                                                                                                 Cedran-8-ol                                                                                                                                                                                                                                                                                                 | mlh1 isoform1 |     -0.04     |
|  50  |                                                                                                                                                                                                                                                                                                 Etofenamate                                                                                                                                                                                                                                                                                                 | mlh1 isoform1 |     -0.04     |
|  51  |                                                                                                                                                                                                                                                                                                  Mofezolac                                                                                                                                                                                                                                                                                                  | mlh1 isoform1 |     -0.04     |
|  52  |                                                                                                                                                                                                                                                                                                 Fluphenazine                                                                                                                                                                                                                                                                                                | mlh1 isoform1 |     -0.04     |
|  53  |                                                                                                                                                          (23E,25E,27E,29E,31E,33E,35E)-22-[(2R,3S,4S,5R,6R)-3-Amino-4,5-dihydroxy-6-methyloxan-2-yl]oxy-38-[7-(4-aminophenyl)-5-hydroxy-4-methyl-7-oxoheptan-2-yl]-10,12,14,18,20-pentahydroxy-37-methyl-2,4,8,16-tetraoxo-1-oxacyclooctatriaconta-23,25,27,29,31,33,35-heptaene-19-carboxylic acid                                                                                                                                                         | mlh1 isoform1 |     -0.04     |
|  54  |                                                                                                                                                                                                                                                                                                Metaproterenol                                                                                                                                                                                                                                                                                               | mlh1 isoform1 |     -0.04     |
|  55  |                                                                                                                                                                                                                                                                                                    CBiPES                                                                                                                                                                                                                                                                                                   | mlh1 isoform1 |     -0.04     |
|  56  |                                                                                                                                                                                                                                                            4-Nitrophenyl 4-[bis(2H-1,3-benzodioxol-5-yl)(hydroxy)methyl]piperidine-1-carboxylate                                                                                                                                                                                                                                                            | mlh1 isoform1 |     -0.04     |
|  57  |                                                                                                                                                                                                                                                                                                  Niridazole                                                                                                                                                                                                                                                                                                 | mlh1 isoform1 |     -0.04     |
|  58  |                                                                                                                                                                                                                                                                                                Canagliflozin                                                                                                                                                                                                                                                                                                | mlh1 isoform1 |     -0.04     |
|  59  |                                                                                                                                                                                                                                                                                                Piromidic acid                                                                                                                                                                                                                                                                                               | mlh1 isoform1 |     -0.04     |
|  60  |                                                                                                                                                                                                                                                                                                Oxolinic acid                                                                                                                                                                                                                                                                                                | mlh1 isoform1 |     -0.04     |
|  61  |                                                                                                                                                                                                                                                                                            Methylene Blue cation                                                                                                                                                                                                                                                                                            | mlh1 isoform1 |     -0.04     |
|  62  |                                                                                                                                                                                                                                        [(10R,13S,17R)-17-Acetyl-10,13-dimethyl-3-oxo-2,6,7,8,9,11,12,14,15,16-decahydro-1H-cyclopenta[a]phenanthren-17-yl] hexanoate                                                                                                                                                                                                                                        | mlh1 isoform1 |     -0.04     |
|  63  |                                                                                                                                                                                                                                                                  2-((4,5-Dihydro-1H-imidazol-2-yl)methyl)-2,3-dihydro-1-methyl-1H-isoindole                                                                                                                                                                                                                                                                 | mlh1 isoform1 |     -0.04     |
|  64  |                                                                                                                                                                                                                     6-[(3R,4S,7R)-7-[(3S)-5-Ethyl-5-[(5R,6S)-5-ethyl-5-hydroxy-6-methyloxan-2-yl]-3-methyloxolan-2-yl]-4-hydroxy-3,5-dimethyl-6-oxononyl]-2-hydroxy-3-methylbenzoic acid                                                                                                                                                                                                                    | mlh1 isoform1 |     -0.04     |
|  65  |                                                                                                                                                                                                                                                                                                  Zaldaride                                                                                                                                                                                                                                                                                                  | mlh1 isoform1 |     -0.04     |
|  66  |                                                                                                                                                                                                                                                                                                 Protionamide                                                                                                                                                                                                                                                                                                | mlh1 isoform1 |     -0.04     |
|  67  |                                                                                                                                                                                                                                                                             Ethyl 4-(methyl(2-phenylthiazol-4-yl)amino)benzoate                                                                                                                                                                                                                                                                             | mlh1 isoform1 |     -0.04     |
|  68  |                                                                                                                                                                                                                                                                                                  Bromantane                                                                                                                                                                                                                                                                                                 | mlh1 isoform1 |     -0.04     |
|  69  |                                                                                                                                                                                                                                                                                                 Apabetalone                                                                                                                                                                                                                                                                                                 | mlh1 isoform1 |     -0.04     |
|  70  |                                                                                                                                                                                                                                                                    4-(6-(4-(Piperazin-1-yl)phenyl)pyrazolo[1,5-a]pyrimidin-3-yl)quinoline                                                                                                                                                                                                                                                                   | mlh1 isoform1 |     -0.04     |
